"name","party","screen_name","class"
"merlo ricardo antonio","misto","ricardomerlo5","S"
"messina alfredo","fi",NA,"S"
"messina assuntela","pd",NA,"S"
"mininno cataldo","m5s","dinomininno","S"
"minuto anna carmela","fi",NA,"S"
"mirabelli franco","pd","framirabelli","S"
"misiani antonio","pd","antoniomisiani","S"
"modena fiammetta","fi","fiammettamodena","S"
"moles giuseppe","fi","giusmoles","S"
"mollame francesco","m5s","fmollame","S"
"montani enrico","lega","montanienrico","S"
"montevecchi michela","m5s","m_montevecchi","S"
"monti mario","misto","senatoremonti","S"
"moronese vilma","m5s","vilmamoronese","S"
"morra nicola","m5s","nicolamorra63","S"
"nannicini tommaso","pd","tnannicini","S"
"napolitano giorgio","aut (svp-patt; uv)","regiorgio_primo","S"
"nastri gaetano","fdi",NA,"S"
"naturale gisella","m5s","gisellanaturale","S"
"nencini riccardo","misto","nencinipsi","S"
"nisini tiziana","lega","tiziananisini","S"
"nocerino simona nunzia","m5s","simonanocerino_","S"
"nugnes paola","m5s","paolanugnes","S"
"ortis fabrizio","m5s","fabrizioortis","S"
"ortolani franco","m5s","francortolani","S"
"ostellari andrea","lega","andreaostellari","S"
"pacifico marinella","m5s","mrnllpacifico","S"
"pagano nazario","fi","nazariopagano","S"
"papatheu urania giulia rosina","fi","uraniapapatheu","S"
"paragone gianluigi","m5s","gparagone","S"
"parente annamaria","pd","am_parente","S"
"paroli adriano","fi","paroli_adriano","S"
"parrini dario","pd","darioparrini","S"
"patriarca edoardo","pd","edopatriarca","S"
"patuanelli stefano","m5s","spatuanelli","S"
"pazzaglini giuliano","lega","giulipaz68","S"
"pellegrini emanuele","lega","ematpellegrini","S"
"pellegrini marco","m5s","mpellegrini_m5s","S"
"pepe pasquale","lega","pepepasquale1","S"
"pergreffi simona","lega","simonapergreffi","S"
"perilli gianluca","m5s","perillim5senato","S"
"perosino marco","fi","marco_perosino","S"
"pesco daniele","m5s","danielepesco","S"
"petrocelli vito rosario","m5s","vitopetrocelli","S"
"pianasso cesare","lega",NA,"S"
"piano renzo","independent","rpbwarchitects","S"
"piarulli angela anna bruna","m5s",NA,"S"
"pichetto fratin gilberto","fi","gpichetto","S"
"pillon simone","lega","simopillon","S"
"pinotti roberta","pd","robertapinotti","S"
"pirovano daisy","lega","daisypirovano","S"
"pirro elisa","m5s","pirroelisa","S"
"pisani giuseppe","m5s","gius_pisani","S"
"pisani pietro","lega","pietro_pisani","S"
"pittella gianni","pd","giannipittella","S"
"pittoni mario","lega","mariopittoni","S"
"pizzol nadia","lega","nadiapizzol","S"
"presutto vincenzo","m5s","enzopresutto_","S"
"pucciarelli stefania","lega","pucciarellilega","S"
"puglia sergio","m5s","sergiopuglia","S"
"quagliariello gaetano","fi","quagliariellog","S"
"quarto ruggiero","m5s",NA,"S"
"rampi roberto","pd","rampi","S"
"rauti isabella","fdi","isabellarauti","S"
"renzi matteo","pd","matteorenzi","S"
"riccardi alessandra","m5s","ariccardi9","S"
"ricciardi sabrina","m5s","sabryricciardi","S"
"richetti matteo","pd","matteorichetti","S"
"ripamonti paolo","lega","ripamonti_lega","S"
"rivolta erica","lega","erica_rivolta","S"
"rizzotti maria","fi","maria_rizzotti","S"
"rojc tatjana","pd","tatjana_rojc","S"
"romagnoli sergio","m5s","sergione69","S"
"romani paolo","fi","_paolo_romani_","S"
"romano iunio valerio","m5s","iunioromano","S"
"romeo massimiliano","lega","maxromeomb","S"
"ronzulli licia","fi","liciaronzulli","S"
"rossi mariarosaria","fi",NA,"S"
"rossomando anna","pd","rossomandopd","S"
"rubbia carlo","independent",NA,"S"
"rufa gianfranco","lega","gfrufa","S"
"ruspandini massimo","fdi","mruspandini","S"
"russo loredana","m5s",NA,"S"
"saccone antonio","fi","antosaccone","S"
"salvini matteo","lega","matteosalvinimi","S"
"santangelo vincenzo","m5s",NA,"S"
"santillo agostino","m5s","ago_santillom5s","S"
"saponara maria","lega",NA,"S"
"saviane paolo","lega",NA,"S"
"sbrana rosellina","lega",NA,"S"
"sbrollini daniela","pd","danisbrollini","S"
"schifani renato","fi","renatoschifani","S"
"sciascia salvatore","fi","totosciascia","S"
"segre liliana","misto","susysin71","S"
"serafini giancarlo","fi",NA,"S"
"siclari marco","fi","marcosiclari","S"
"sileri pierpaolo","m5s","piersileri","S"
"siri armando","lega","armandosiri","S"
"solinas christian","lega",NA,"S"
"stabile laura","fi","laurastabile57","S"
"stancanelli raffaele","fdi","r_stancanelli","S"
"stefani erika","lega","erikastefani71","S"
"stefano dario","pd","dariostefano","S"
"steger dieter","aut (svp-patt; uv)","dietersteger","S"
"sudano valeria","pd","sudanovaleria","S"
"taricco mino","pd","minotaricco","S"
"taverna paola","m5s","paolatavernam5s","S"
