"name","party","screen_name","class"
"di sarno gianfranco","m5s",NA,"D"
"di stasio iolanda","m5s","Iolandadstasio","D"
"di stefano manlio","m5s","ManlioDS","D"
"donina giuseppe cesare","lega",NA,"D"
"donno leonardo","m5s","LeonDonnoM5S","D"
"donzelli giovanni","fdi","Donzelli","D"
"dori devis","m5s","DevisDori","D"
"d'orso valentina","m5s",NA,"D"
"durigon claudio","lega","ClaudioDurigon","D"
"d'uva francesco","m5s","F_DUva","D"
"ehm yana chiara","m5s",NA,"D"
"emiliozzi mirella","m5s","mirellaemilioz1","D"
"epifani ettore guglielmo","leu",NA,"D"
"ermellino alessandra","m5s","AErmellino","D"
"fantinati mattia","m5s","MFantinati","D"
"fantuz marica","lega","MaricaFantuz","D"
"faro marialuisa","m5s","MarialuisaFaro","D"
"fasano vincenzo","fi",NA,"D"
"fascina marta antonia","fi",NA,"D"
"fassina stefano","leu","StefanoFassina","D"
"fassino piero","pd","pierofassino","D"
"fatuzzo carlo","fi","carlo_fatuzzo","D"
"federico antonio","m5s","entonyromano","D"
"ferraioli marzia","fi",NA,"D"
"ferraresi vittorio","m5s","Ferraresi_V","D"
"ferrari roberto paolo","lega","RobertoPaoloFe1","D"
"ferri cosimo maria","iv","FerriCosimo","D"
"ferro wanda","fdi","wanda_ferro","D"
"fiano emanuele","pd","emanuelefiano","D"
"ficara paolo","m5s",NA,"D"
"fico roberto","m5s","Roberto_Fico","D"
"fioramonti lorenzo","m-02","lofioramonti","D"
"fiorini benedetta","fi","bennyfiorini","D"
"fitzgerald nissoli fucsia","fi",NA,"D"
"flati francesca","m5s","francesca_flati","D"
"fogliani ketty","lega","KettyFogliani","D"
"fontana gregorio","fi","Greg_Fontana","D"
"fontana ilaria","m5s","ilariafontana5s","D"
"fontana lorenzo","lega","Fontana3Lorenzo","D"
"forciniti francesco","m5s","Fraforciniti","D"
"formentini paolo","lega",NA,"D"
"fornaro federico","leu","Fornaro62","D"
"foscolo sara","lega","sarafoscolo","D"
"foti tommaso","fdi","TommasoFoti","D"
"fraccaro riccardo","m5s","riccardo_fra","D"
"fragomeli gian mario","pd","GianmarioFrago","D"
"frailis andrea","pd",NA,"D"
"franceschini dario","pd","dariofrance","D"
