"name","party","class","screen_name"
"pichetto fratin gilberto","fi","S",NA
"pillon simone","lega","S","SimoPillon"
"pinotti roberta","pd","S","robertapinotti"
"pirovano daisy","lega","S","DaisyPirovano"
"pirro elisa","m5s","S","pirroelisa"
"pisani giuseppe","m5s","S",NA
"pisani pietro","lega","S","pietro_pisani"
"pittella gianni","pd","S","giannipittella"
"pittoni mario","lega","S","mariopittoni"
"pizzol nadia","lega","S",NA
"presutto vincenzo","m5s","S","enzopresutto_"
"pucciarelli stefania","lega","S","PucciarelliLega"
"puglia sergio","m5s","S","sergiopuglia"
"quagliariello gaetano","fi","S","QuagliarielloG"
"quarto ruggiero","m5s","S",NA
"rampi roberto","pd","S","rampi"
"rauti isabella","fdi","S","IsabellaRauti"
"renzi matteo","pd","S","matteorenzi"
"riccardi alessandra","m5s","S","ariccardi9"
"ricciardi sabrina","m5s","S","SabryRicciardi"
"richetti matteo","pd","S","MatteoRichetti"
"ripamonti paolo","lega","S","Ripamonti_Lega"
"rivolta erica","lega","S","erica_rivolta"
"rizzotti maria","fi","S","Maria_Rizzotti"
"rojc tatjana","pd","S","tatjana_rojc"
"romagnoli sergio","m5s","S","Sergione69"
"romani paolo","fi","S","_paolo_romani_"
"romano iunio valerio","m5s","S","iunioromano"
"romeo massimiliano","lega","S","maxromeoMB"
"ronzulli licia","fi","S","LiciaRonzulli"
"rossi mariarosaria","fi","S",NA
"rossomando anna","pd","S","RossomandoPd"
"rubbia carlo","independent","S",NA
"rufa gianfranco","lega","S","gfrufa"
"ruspandini massimo","fdi","S","mruspandini"
"russo loredana","m5s","S",NA
"saccone antonio","fi","S","AntoSaccone"
"salvini matteo","lega","S","matteosalvinimi"
"santangelo vincenzo","m5s","S",NA
"santillo agostino","m5s","S","Ago_SantilloM5S"
"saponara maria","lega","S",NA
"saviane paolo","lega","S",NA
"sbrana rosellina","lega","S",NA
"sbrollini daniela","pd","S","DaniSbrollini"
"schifani renato","fi","S","RenatoSchifani"
"sciascia salvatore","fi","S","TotoSciascia"
"segre liliana","misto","S","susysin71"
"serafini giancarlo","fi","S",NA
"siclari marco","fi","S","MarcoSiclari"
"sileri pierpaolo","m5s","S","piersileri"
"siri armando","lega","S","armandosiri"
"solinas christian","lega","S",NA
"stabile laura","fi","S","laurastabile57"
"stancanelli raffaele","fdi","S","r_stancanelli"
"stefani erika","lega","S","erikastefani71"
"stefano dario","pd","S","DarioStefano"
"steger dieter","aut (svp-patt; uv)","S","DieterSteger"
"sudano valeria","pd","S","SudanoValeria"
"taricco mino","pd","S","MinoTaricco"
"taverna paola","m5s","S","PaolaTavernaM5S"
"tesei donatella","lega","S","Donatella_Tesei"
"testor elena","fi","S","ElenaTestor"
"tiraboschi maria virginia","fi","S",NA
"toffanin roberta","fi","S","ToffaninRoberta"
"toninelli danilo","m5s","S","DaniloToninelli"
"tosato paolo","lega","S","PaoloTosato3"
"totaro achille","fdi","S","TotaroAchille"
"trentacoste fabrizio","m5s","S","TrentacosteM5S"
"turco mario","m5s","S",NA
"unterberger julia","aut (svp-patt; uv)","S",NA
"urraro francesco","m5s","S","avvocato_urraro"
"urso adolfo","fdi","S","adolfo_urso"
"vaccaro sergio","m5s","S","Sergio_Vaccaro1"
"valente valeria","pd","S","ValeriaValente_"
